"Id","Hash","System","Subsystem","File","Name","Genre","Developer","Year","Players"
"39961","0x569e745","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/airwolf.zip","Airwolf","?","?","19XX","2"
"39968","0xd0240b97","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/alexkidd.zip","Alex Kidd: The Lost Stars","?","?","1986","2"
"39973","0x16328f76","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/alienar.zip","Alien Arena","?","?","19XX","2"
"39974","0xd90056b8","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/aliencha.zip","Alien Challenge","?","?","19XX","2"
"39977","0xa29332e3","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/aliens.zip","Aliens","?","?","1990","2"
"39978","0x9e86eaa9","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/aliensec.zip","Alien Sector","?","?","19XX","2"
"39979","0x640cb49","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/aliensyn.zip","Alien Syndrome","?","?","1987","2"
"39980","0x29357762","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/aligator.zip","Alligator Hunt","?","?","19XX","2"
"39992","0xc406e7f3","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/altbeast.zip","Altered Beast","?","?","1988","2"
"39998","0x21dd9ad2","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/ambush.zip","Ambush","?","?","19XX","2"
"40027","0x248e6c2","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/appoooh.zip","Appoooh","?","?","19XX","2"
"40028","0xd15abc7a","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/aquajack.zip","Aqua Jack","?","?","19XX","1"
"40030","0xbf1f8250","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/aquarium.zip","Aquarium","?","?","19XX","2"
"40050","0xa42786f","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/archrivl.zip","Arch Rivals","?","?","19XX","2"
"40055","0x3ac9c81e","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/arescue.zip","Air Rescue","?","?","19XX","1"
"152295","0x640c7722","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/argusg.zip","Argus","?","?","19XX","1"
"40061","0x2fa2f664","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/arkarea.zip","Ark Area","?","?","19XX","2"
"40064","0x9f138e0c","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/arkretrn.zip","Arkanoid Returns","?","?","19XX","2"
"46384","0x8de4868a","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/astdelux.zip","Asteroids Deluxe","?","?","1980","2"
"40075","0x41f25509","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/asterix.zip","Asterix","?","?","1992","2"
"60280","0x8d7a7f57","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/asteroid.zip","Asteroids","?","?","1979","2"
"40084","0xb7dc41d5","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/astyanax.zip","The Astyanax","?","?","19XX","2"
"40086","0xa3e57807","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/asurabld.zip","Asura Blade - Sword of Dynasty","?","?","19XX","2"
"40087","0xbb3654d8","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/asurabus.zip","Asura Buster - Eternal Warriors","?","?","19XX","2"
"40094","0x7e0032f1","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/atetris.zip","Tetris","?","?","1988","2"
"40095","0xb906f88d","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/athena.zip","Athena","?","?","19XX","2"
"40099","0x6a34c7e4","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/atomicp.zip","Atomic Point","?","?","19XX","2"
"40105","0x8d3b2460","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/aurail.zip","Aurail","?","?","19XX","2"
"40116","0xe718f18","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/avengrgs.zip","Avengers In Galactic Storm","?","?","19XX","2"
"40118","0xe4168863","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/avspirit.zip","Avenging Spirit","?","?","19XX","2"
"87605","0x8e013a99","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/b2b.zip","Bang Bang Busters","?","?","19XX","2"
"40127","0x57903e67","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/backfire.zip","Backfire!","?","?","19XX","2"
"40128","0x3d201e95","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/backfirt.zip","Back Fire","?","?","19XX","2"
"40130","0x73e6c3eb","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/baddudes.zip","Bad Dudes Vs. Dragonninja","?","?","19XX","2"
"40135","0xd163c1ad","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bakutotu.zip","Bakutotsu Kijuutei","?","?","19XX","2"
"40136","0xce42cc0c","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/balcube.zip","Bal Cube","?","?","19XX","2"
"40138","0x804f5229","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/ballbros.zip","Balloon Brothers","?","?","19XX","2"
"40144","0x39988b6c","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/banbam.zip","BanBam","?","?","19XX","2"
"40146","0x212812c","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bangball.zip","Bang Bang Ball","?","?","19XX","2"
"40148","0x2f204533","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bankp.zip","Bank Panic","?","?","19XX","2"
"40160","0x94692a10","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/batman.zip","Batman","?","?","19XX","1"
"40167","0x6cac1d88","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/battlex.zip","Battle Cross","?","?","19XX","2"
"40170","0xa6435871","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bayroute.zip","Bay Route","?","?","1989","2"
"40173","0x63648fce","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bballs.zip","Bouncing Balls","?","?","19XX","2"
"40174","0x2779a469","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bbbxing.zip","Best Bout Boxing","?","?","19XX","2"
"40181","0xbf9de8a0","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bchopper.zip","Battle Chopper","?","?","19XX","2"
"40183","0x82b51d63","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bcstry.zip","B.C. Story","?","?","19XX","2"
"40199","0x719f711b","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/benberob.zip","Ben Bero Beh","?","?","19XX","2"
"40200","0x14fc4ae7","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/berabohm.zip","Beraboh Man","?","?","19XX","2"
"40202","0x925ef163","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/berlwall.zip","The Berlin Wall","?","?","19XX","2"
"40204","0x164e23ca","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/berzerk.zip","Berzerk","?","?","19XX","2"
"40205","0xb76a673c","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bestbest.zip","Best Of Best","?","?","19XX","2"
"40206","0x1042f8a7","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bestri.zip","Bestri","?","?","19XX","2"
"40215","0x73853664","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bigkarnk.zip","Big Karnak","?","?","19XX","2"
"40218","0xb93db4d","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bigstrik.zip","Big Striker","?","?","19XX","2"
"40219","0xefadc47b","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bigtwin.zip","Big Twin","?","?","19XX","2"
"40235","0x25030bb7","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/biomtoy.zip","Biomechanical Toy","?","?","19XX","1"
"150942","0x729f220c","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bionicc.zip","Bionic Commando","?","?","1987","2"
"40237","0xaf7f6e2d","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bioship.zip","Bio-ship Paladin","?","?","19XX","2"
"40250","0xe26ecf79","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blackt96.zip","Black Touch '96","?","?","19XX","2"
"40252","0x815b172b","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blandia.zip","Blandia","?","?","19XX","2"
"40253","0xe3d1809a","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blasted.zip","Blasted","?","?","19XX","2"
"40254","0x170535cb","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blaster.zip","Blaster","?","?","19XX","2"
"40255","0x5d3411f4","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blasto.zip","Blasto","?","?","19XX","2"
"40257","0x990707c3","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blazeon.zip","Blaze On","?","?","19XX","2"
"40266","0xeba279be","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blkheart.zip","Black Heart","?","?","19XX","2"
"149951","0x2f901c89","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blkpnthr.zip","Black Panther","?","?","19XX","1"
"40270","0xec09e194","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blktiger.zip","Black Tiger","?","?","1987","2"
"40272","0xe68c5aec","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blmbycar.zip","Blomby Car","?","?","19XX","2"
"40274","0x9114e8af","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blockade.zip","Blockade","?","?","19XX","2"
"40276","0xfb576437","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blocken.zip","Blocken","?","?","19XX","2"
"40278","0xa0f77b56","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blockhl.zip","Block Hole","?","?","19XX","2"
"40279","0xa2e3c647","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/blockout.zip","Block Out","?","?","19XX","2"
"40280","0xf28cf768","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bloodbro.zip","Blood Bros.","?","?","19XX","2"
"40281","0x573cf885","arcade","fbneo","/roms/arcade/fbneo/Horizontal Games/bloodstm.zip","Blood Storm","?","?","19XX","2"
